('</s>', '<s>'): 3914
('.', '</s>'): 3718
('<s>', 'the'): 763
('<s>', 'i'): 560
('!', '</s>'): 408
('<s>', 'we'): 336
('the', 'hotel'): 328
('in', 'the'): 320
('at', 'the'): 266
('of', 'the'): 265
(',', 'and'): 264
('the', 'room'): 225
('to', 'the'): 222
('and', 'the'): 222
(',', 'the'): 199
(',', 'but'): 188
('on', 'the'): 183
('this', 'hotel'): 162
('it', 'was'): 159
('i', 'was'): 157
('<s>', 'it'): 155
('hotel', '.'): 154
('room', 'was'): 147
('for', 'a'): 147
(',', 'i'): 142
('we', 'were'): 131
('for', 'the'): 130
('<s>', '!'): 124
('was', 'very'): 120
('from', 'the'): 116
('and', 'i'): 111
('<s>', 'this'): 109
('the', 'staff'): 107
('with', 'a'): 107
('a', 'great'): 104
('was', 'a'): 103
('had', 'a'): 103
('we', 'had'): 101
('in', 'a'): 99
('to', 'be'): 94
('in', 'chicago'): 91
('hotel', 'is'): 90
('<s>', 'they'): 90
('is', 'a'): 89
('stayed', 'at'): 88
('i', 'had'): 87
('<s>', 'my'): 86
('i', 'would'): 86
('front', 'desk'): 84
('room', '.'): 83
('the', 'rooms'): 81
('our', 'room'): 79
('?', '</s>'): 78
('had', 'to'): 77
('the', 'front'): 77
('it', 'is'): 75
('there', 'was'): 75
('the', 'lobby'): 74
('if', 'you'): 73
(',', 'we'): 73
('i', 'have'): 72
('to', 'get'): 70
('it', "'s"): 69
('did', "n't"): 67
('did', 'not'): 66
('stay', 'at'): 66
('<s>', 'when'): 65
(')', '.'): 64
('with', 'the'): 62
('this', 'is'): 62
('and', 'a'): 60
('the', 'location'): 60
('a', 'room'): 60
('when', 'we'): 60
('to', 'stay'): 60
(',', 'it'): 59
('when', 'i'): 58
('chicago', '.'): 57
('<s>', 'there'): 57
('staff', 'was'): 56
('room', ','): 55
('all', 'the'): 55
('that', 'the'): 54
('it', '.'): 54
('the', 'bathroom'): 54
('hotel', ','): 54
('do', "n't"): 52
('again', '.'): 51
('and', 'it'): 51
('stay', 'here'): 51
('<s>', 'if'): 50
('to', 'chicago'): 49
('was', 'not'): 49
('the', 'bed'): 49
('<s>', 'our'): 48
('i', 'stayed'): 48
('stay', '.'): 47
('out', 'of'): 47
('on', 'a'): 46
('room', 'service'): 45
('and', 'was'): 45
('this', 'was'): 44
('that', 'i'): 44
('they', 'were'): 43
