('<unk>',): 4396
('<s>',): 4324
('</s>',): 4324
('the',): 4202
('.',): 3746
(',',): 2351
('and',): 2091
('a',): 1817
('to',): 1693
('was',): 1442
('i',): 1401
('in',): 1013
('for',): 853
('we',): 852
('of',): 837
('hotel',): 830
('room',): 736
('it',): 706
('is',): 665
('at',): 585
('that',): 576
('on',): 514
('not',): 490
('this',): 483
('with',): 482
('were',): 462
('had',): 441
('my',): 440
('!',): 427
('they',): 396
('but',): 391
('very',): 389
('our',): 361
('you',): 350
('have',): 349
('stay',): 310
('from',): 293
('there',): 288
('great',): 287
('``',): 284
(')',): 279
("n't",): 261
('are',): 261
('chicago',): 258
('would',): 250
('(',): 249
('as',): 244
('so',): 226
('staff',): 222
('when',): 219
('all',): 219
('be',): 217
('me',): 207
('service',): 199
('no',): 197
('did',): 190
('one',): 188
('stayed',): 187
('an',): 185
('rooms',): 182
('...',): 182
('location',): 168
("'s",): 166
('-',): 165
('$',): 163
('if',): 162
('out',): 161
('us',): 160
('night',): 159
('nice',): 157
('just',): 155
('up',): 150
('get',): 148
('could',): 145
('about',): 145
('which',): 140
('bed',): 136
('desk',): 135
('by',): 134
('only',): 132
('do',): 129
('good',): 129
('or',): 127
('again',): 126
('here',): 125
('even',): 121
('will',): 119
('time',): 119
('like',): 117
('also',): 116
('floor',): 114
('two',): 110
('other',): 107
('back',): 105
('clean',): 105
('after',): 105
('has',): 102
('lobby',): 100
('bathroom',): 100
('some',): 100
('front',): 99
('what',): 98
('got',): 97
('been',): 96
('their',): 91
('small',): 91
('really',): 91
('2',): 91
('day',): 90
(':',): 90
('go',): 87
('hotels',): 87
('can',): 87
('because',): 85
('more',): 85
('next',): 84
('well',): 84
('?',): 84
('comfortable',): 83
('than',): 83
('never',): 82
('first',): 82
('your',): 82
('friendly',): 78
('view',): 77
('bar',): 77
('called',): 77
('breakfast',): 76
('--',): 75
('much',): 74
('he',): 74
('helpful',): 73
('booked',): 72
('down',): 72
('better',): 71
('made',): 68
('people',): 68
('free',): 68
('place',): 67
('then',): 66
('business',): 65
('over',): 64
('michigan',): 63
('everything',): 62
('beds',): 62
('door',): 61
('recommend',): 61
('check',): 61
('asked',): 61
('nights',): 61
('city',): 61
('price',): 61
('off',): 60
('area',): 59
('best',): 58
('morning',): 58
('said',): 58
('them',): 58
('told',): 57
('am',): 56
('take',): 56
('went',): 56
('close',): 56
('weekend',): 55
('restaurant',): 55
('too',): 55
('while',): 54
('beautiful',): 54
('reservation',): 54
('any',): 54
('another',): 53
('many',): 53
('experience',): 53
('3',): 53
('water',): 53
('its',): 53
('arrived',): 53
('being',): 52
('walk',): 52
('call',): 51
('large',): 51
('right',): 51
('excellent',): 50
('shopping',): 50
('4',): 50
('came',): 50
('she',): 50
('food',): 50
('before',): 49
('street',): 48
('checked',): 48
('coffee',): 48
('where',): 48
('star',): 47
('who',): 47
('old',): 47
('found',): 47
("'ve",): 47
('phone',): 46
('every',): 46
('wonderful',): 46
('say',): 46
('shower',): 45
('find',): 45
('way',): 45
(';',): 45
('minutes',): 45
('suite',): 45
('trip',): 45
('guests',): 45
('definitely',): 44
('staying',): 43
('most',): 43
('work',): 42
('want',): 42
('little',): 42
('hilton',): 42
('few',): 42
('left',): 42
('rate',): 42
('parking',): 42
('quite',): 42
('open',): 41
('last',): 41
('took',): 41
('though',): 41
('paid',): 41
('away',): 41
('need',): 40
('think',): 40
('still',): 40
('pool',): 39
('since',): 39
('gave',): 39
('internet',): 39
('reviews',): 39
('new',): 39
('&',): 38
('restaurants',): 38
('downtown',): 38
('mile',): 38
('concierge',): 38
('deal',): 38
('several',): 38
('going',): 37
('during',): 37
('now',): 37
('walking',): 36
('conference',): 36
('hard',): 36
('use',): 36
('check-in',): 36
('feel',): 36
('looking',): 35
('times',): 35
('however',): 35
('see',): 35
('nothing',): 35
('river',): 35
('days',): 35
('king',): 35
('charge',): 35
('such',): 34
('enough',): 34
('bit',): 34
('around',): 34
('second',): 34
('5',): 34
('make',): 34
('dinner',): 34
('customer',): 33
('tv',): 33
('loved',): 33
('high',): 33
('both',): 33
('big',): 33
('problem',): 33
('long',): 33
('etc',): 32
('her',): 32
('finally',): 32
('into',): 32
('different',): 32
('able',): 32
('visit',): 32
('thing',): 32
('..',): 31
('quiet',): 31
('know',): 31
('bad',): 31
("'re",): 31
('*',): 31
('tiny',): 31
('home',): 31
('same',): 31
('lot',): 31
('wife',): 31
('sure',): 31
('guest',): 30
('through',): 30
('year',): 30
('elevators',): 30
('perfect',): 30
('something',): 30
('extremely',): 30
('how',): 30
("'m",): 30
('put',): 30
('these',): 30
('come',): 29
('spacious',): 29
('manager',): 29
('requested',): 29
('upgrade',): 29
